time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:ConcurrentMarkSweep.count,Jvm:ConcurrentMarkSweep.time,Jvm:ParNew.count,Jvm:ParNew.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2015-05-03 06:59:49.521 UTC,125,0,0,0,0,0,3157354,696,11501,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,0,2,1,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,1,5,10151560,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:00:49.530 UTC,125,0,0,0,0,0,15581913,1032,12435948,112,0,0,0,0,0,70,0,0,0,0,0,0,0,4,4,0,0,2,6,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,0,0,19,0,4,0,0,0,3,1,0,0,0,0,0,0,0,38,1,0,0,6144,3,11649100,14,0,0,0,0,1,3,28,78,55423832,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:01:49.546 UTC,1509,0,0,0,0,0,31445281,2384,28297932,112,0,0,0,0,0,131,0,0,0,0,0,0,0,5,4,0,0,2,7,43,5,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,34361770145,5,34361007715,4,4,7,18,0,0,70,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1430636388839,3145728,0,0,0,1,4,176,4,17,4,0,0,3,11,0,0,0,5,3,6144,3,908011,8,0,0,33587200,12,60583059,25,4,0,0,0,7,26,41,127,126740264,1,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:02:49.552 UTC,2511,0,0,0,0,0,48565043,3112,45416692,112,0,0,0,0,0,145,0,0,0,0,0,0,0,6,4,0,0,3,7,34,4,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,55835846622,7,55835126032,2,2,4,10,0,0,77,0,0,0,0,0,3,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,2,2,171,2,13,2,0,0,3,7,0,0,0,4,3,10240,5,1698699,7,0,0,23179264,9,56430045,23,3,0,0,0,2,2,45,155,215102680,1,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:03:49.561 UTC,2511,0,0,0,0,0,58116539,3216,54968188,112,0,0,0,0,0,52,0,0,0,0,0,0,0,6,4,0,0,3,7,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,55835846622,7,55835126032,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,0,0,55,0,2,0,0,0,3,1,0,0,0,0,3,0,0,38,1,0,0,2048,1,9162465,10,0,0,0,0,0,0,21,74,281203896,1,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:04:49.569 UTC,4397,0,0,0,0,0,69600497,4360,66450260,112,0,0,0,0,0,115,0,0,0,0,0,0,0,7,4,0,0,3,7,64,10,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,94495865443,10,90194313254,3,7,5,13,0,0,81,0,0,0,0,2,3,13,0,4,0,0,0,0,5,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1430636388839,3145728,0,0,0,9,3,278,3,22,3,0,0,3,11,0,0,0,10,6,20480,10,4203079,12,0,0,66838528,23,77291656,22,7,0,0,0,4,15,35,154,233009800,1,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:05:49.584 UTC,4039,0,0,0,0,0,78702187,5296,75552308,112,0,0,0,0,0,110,0,0,0,0,0,0,0,8,4,0,0,5,5,48,7,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,120268915782,13,120267846453,3,7,4,12,0,0,80,0,0,0,0,3,4,11,0,3,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1430636388839,3145728,0,0,0,4,3,254,3,19,3,0,0,3,10,0,0,0,7,7,16384,8,4672704,10,0,0,46679040,18,49055334,23,8,0,0,0,1,1,30,100,332057560,2,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:06:49.599 UTC,4039,0,0,0,0,0,86395347,5400,83245468,112,0,0,0,0,0,47,0,0,0,0,0,0,0,8,4,0,0,5,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,120268915782,13,120267846453,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,0,7,0,0,38,1,0,0,2048,1,7689645,8,0,0,0,0,0,0,16,58,357246520,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:07:49.616 UTC,5275,0,0,0,0,0,94478327,5816,91327212,112,0,0,0,0,0,94,0,0,0,0,0,0,0,8,4,0,0,5,5,49,10,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,146032033355,15,146032031639,2,4,5,10,0,0,83,0,0,0,0,5,2,46,0,3,0,0,0,0,12,6,11,0,0,0,11,13,0,0,0,0,0,0,0,0,1430636388839,3145728,0,0,0,6,2,166,2,11,2,0,0,3,6,0,0,0,10,8,26624,10,1783722,7,0,0,41885696,14,54491358,14,5,0,0,0,1,2,23,118,367994680,2,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-03 07:08:49.624 UTC,4850,0,0,0,0,0,104399430,6544,101248740,112,0,0,0,0,0,126,0,0,0,0,0,0,0,10,4,0,0,6,6,58,10,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,180389717356,18,176099740241,3,9,5,13,0,0,82,0,0,0,0,2,5,9,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1430636388839,3145728,0,0,0,8,3,303,3,23,3,0,0,3,11,0,0,0,10,10,24576,12,6051602,14,0,0,66049024,21,72530404,24,10,0,0,0,1,1,35,163,528111520,2,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
